eval_id,rater,case_id,surface,title,description,research_gap,evidence_references,relevance,novelty,plausibility,evidence_quality,notes
EV-069555f728,,rl_x_sim_to_real,hypothesis,,The most embedding-similar papers jointly cover the researchers' interests; combining their methods warrants empirical evaluation.,,Sim-to-Real Transfer in Deep Reinforcement Learning for Robotics: a Survey; Active Learning Literature Survey; Sim-to-Real Transfer of Robotic Control with Dynamics Randomization,,,,,
EV-0729354e0b,,knowledge_graph_x_question_answering,gap,,Future-work opportunity: Extending 'Stepwise Reasoning for Multi-Relation Question Answering over Knowledge Graph with Weak Supervision' to broader settings is suggested by the absence of such results in the abstract.,Future-work opportunity: Extending 'Stepwise Reasoning for Multi-Relation Question Answering over Knowledge Graph with Weak Supervision' to broader settings is suggested by the absence of such results in the abstract.,Stepwise Reasoning for Multi-Relation Question Answering over Knowledge Graph with Weak Supervision,,,,,
EV-07a21bd46e,,clinical_nlp_x_ehr,gap,,Future-work opportunity: Extending 'A Persona-Based Neural Conversation Model' to broader settings is suggested by the absence of such results in the abstract.,Future-work opportunity: Extending 'A Persona-Based Neural Conversation Model' to broader settings is suggested by the absence of such results in the abstract.,A Persona-Based Neural Conversation Model,,,,,
EV-08758b35f6,,recommender_x_fairness,gap,,"Explicit limitation reported: The abstract of 'Fairness in Algorithmic Decision-Making: Applications in Multi-Winner Voting, Machine Learning, and Recommender Systems' does not report evaluation beyond alternatives.","Explicit limitation reported: The abstract of 'Fairness in Algorithmic Decision-Making: Applications in Multi-Winner Voting, Machine Learning, and Recommender Systems' does not report evaluation beyond alternatives.","Fairness in Algorithmic Decision-Making: Applications in Multi-Winner Voting, Machine Learning, and Recommender Systems",,,,,
EV-094443a0a4,,materials_discovery_x_active_learning,gap,,"Possible gap: 'X-ray Diffraction in Crystallography' appears on only one side of this pairing (Machine learning for materials discovery / Active learning for experimental design); joint or comparative evidence was not provided, so a combined treatment is worth empirical study.","Possible gap: 'X-ray Diffraction in Crystallography' appears on only one side of this pairing (Machine learning for materials discovery / Active learning for experimental design); joint or comparative evidence was not provided, so a combined treatment is worth empirical study.",,,,,,
EV-09b0745e3f,,climate_downscaling_x_deep_learning,gap,,Explicit limitation reported: The abstract of 'Configuration and intercomparison of deep learning neural models for statistical downscaling' does not report evaluation beyond climate.,Explicit limitation reported: The abstract of 'Configuration and intercomparison of deep learning neural models for statistical downscaling' does not report evaluation beyond climate.,Configuration and intercomparison of deep learning neural models for statistical downscaling,,,,,
EV-0a011344c0,,federated_learning_x_privacy,gap,,"Future-work opportunity: Extending 'The NIMH Research Domain Criteria Initiative: Background, Issues, and Pragmatics' to broader settings is suggested by the absence of such results in the abstract.","Future-work opportunity: Extending 'The NIMH Research Domain Criteria Initiative: Background, Issues, and Pragmatics' to broader settings is suggested by the absence of such results in the abstract.","The NIMH Research Domain Criteria Initiative: Background, Issues, and Pragmatics",,,,,
EV-0a61d19c15,,federated_learning_x_privacy,gap,,Future-work opportunity: Extending 'Differential Privacy for Deep and Federated Learning: A Survey' to broader settings is suggested by the absence of such results in the abstract.,Future-work opportunity: Extending 'Differential Privacy for Deep and Federated Learning: A Survey' to broader settings is suggested by the absence of such results in the abstract.,Differential Privacy for Deep and Federated Learning: A Survey,,,,,
EV-0b05c0aeff,,federated_learning_x_privacy,gap,,Future-work opportunity: Extending 'Federated Learning for Healthcare Informatics' to broader settings is suggested by the absence of such results in the abstract.,Future-work opportunity: Extending 'Federated Learning for Healthcare Informatics' to broader settings is suggested by the absence of such results in the abstract.,Federated Learning for Healthcare Informatics,,,,,
EV-0bf4828704,,materials_discovery_x_active_learning,gap,,Future-work opportunity: Extending 'Validation of the theoretical domains framework for use in behaviour change and implementation research' to broader settings is suggested by the absence of such results in the abstract.,Future-work opportunity: Extending 'Validation of the theoretical domains framework for use in behaviour change and implementation research' to broader settings is suggested by the absence of such results in the abstract.,Validation of the theoretical domains framework for use in behaviour change and implementation research,,,,,
EV-0d2800fcbf,,recommender_x_fairness,gap,,Explicit limitation reported: The abstract of 'Validation of the theoretical domains framework for use in behaviour change and implementation research' does not report evaluation beyond framework.,Explicit limitation reported: The abstract of 'Validation of the theoretical domains framework for use in behaviour change and implementation research' does not report evaluation beyond framework.,Validation of the theoretical domains framework for use in behaviour change and implementation research,,,,,
EV-0d424196b7,,single_cell_x_transfer_learning,gap,,Future-work opportunity: Extending 'The NIMH Research Domain Criteria (RDoC) Project: Precision Medicine for Psychiatry' to broader settings is suggested by the absence of such results in the abstract.,Future-work opportunity: Extending 'The NIMH Research Domain Criteria (RDoC) Project: Precision Medicine for Psychiatry' to broader settings is suggested by the absence of such results in the abstract.,The NIMH Research Domain Criteria (RDoC) Project: Precision Medicine for Psychiatry,,,,,
EV-0d7de905e2,,single_cell_x_transfer_learning,hypothesis,,The most embedding-similar papers jointly cover the researchers' interests; combining their methods warrants empirical evaluation.,,GSVA: gene set variation analysis for microarray and RNA-Seq data; SCANPY: large-scale single-cell gene expression data analysis; limma powers differential expression analyses for RNA-sequencing and microarray studies,,,,,
EV-0d9f4cdc9f,,recommender_x_fairness,gap,,Topics outside the top-ranked papers are least similar to the combined inputs for Recommender systems and Fairness in machine learning; such topics are not jointly evidenced.,Topics outside the top-ranked papers are least similar to the combined inputs for Recommender systems and Fairness in machine learning; such topics are not jointly evidenced.,Neural Collaborative Filtering; LSQR: An Algorithm for Sparse Linear Equations and Sparse Least Squares; Evaluating collaborative filtering recommender systems,,,,,
EV-0e61d5cc6c,,knowledge_graph_x_question_answering,gap,,"Explicit limitation reported: The abstract of 'The NIMH Research Domain Criteria Initiative: Background, Issues, and Pragmatics' does not report evaluation beyond rdoc.","Explicit limitation reported: The abstract of 'The NIMH Research Domain Criteria Initiative: Background, Issues, and Pragmatics' does not report evaluation beyond rdoc.","The NIMH Research Domain Criteria Initiative: Background, Issues, and Pragmatics",,,,,
EV-0e865e3c18,,speech_recognition_x_hearing_aids,gap,,"Possible gap: 'Advanced Bandit Algorithms Research' appears on only one side of this pairing (Automatic speech recognition / Speech enhancement for hearing aids); joint or comparative evidence was not provided, so a combined treatment is worth empirical study.","Possible gap: 'Advanced Bandit Algorithms Research' appears on only one side of this pairing (Automatic speech recognition / Speech enhancement for hearing aids); joint or comparative evidence was not provided, so a combined treatment is worth empirical study.",,,,,,
EV-0ea54ebc12,,climate_downscaling_x_deep_learning,gap,,Retrieved coverage is limited to the listed papers; a deeper corpus would be needed to confirm gaps between Statistical climate downscaling and Deep learning for earth observation.,Retrieved coverage is limited to the listed papers; a deeper corpus would be needed to confirm gaps between Statistical climate downscaling and Deep learning for earth observation.,Transferring Deep Convolutional Neural Networks for the Scene Classification of High-Resolution Remote Sensing Imagery; Deep learning in remote sensing applications: A meta-analysis and review; Precipitation downscaling under climate change: Recent developments to bridge the gap between dynamical models and the end user,,,,,
EV-0fa069de92,,quantum_chemistry_x_dft,intersection,Bridging illustrative x illustrative: combining Quantum computing for chemistry and Density functional theory expertise,Both publication records touch 'illustrative x illustrative'. A joint direction could combine the methods of Quantum computing for chemistry with the methods of Density functional theory to address the identified gap. No relevant evidence was found in the searched literature.,"Explicit limitation reported: The abstract of 'The NIMH Research Domain Criteria Initiative: Background, Issues, and Pragmatics' does not report evaluation beyond rdoc.","The NIMH Research Domain Criteria Initiative: Background, Issues, and Pragmatics",,,,,
EV-0fcc62d8fd,,recommender_x_fairness,gap,,Future-work opportunity: Extending 'Asymptotic and resampling strategies for assessing and comparing indirect effects in multiple mediator models' to broader settings is suggested by the absence of such results in the abstract.,Future-work opportunity: Extending 'Asymptotic and resampling strategies for assessing and comparing indirect effects in multiple mediator models' to broader settings is suggested by the absence of such results in the abstract.,Asymptotic and resampling strategies for assessing and comparing indirect effects in multiple mediator models,,,,,
EV-10c62dd604,,knowledge_graph_x_question_answering,gap,,Topics outside the top-ranked papers are least similar to the combined inputs for Knowledge graph embeddings and Question answering over knowledge bases; such topics are not jointly evidenced.,Topics outside the top-ranked papers are least similar to the combined inputs for Knowledge graph embeddings and Question answering over knowledge bases; such topics are not jointly evidenced.,Knowledge Graph Embedding by Translating on Hyperplanes; Learning Entity and Relation Embeddings for Knowledge Graph Completion; Knowledge Graph Embedding via Dynamic Mapping Matrix,,,,,
EV-12b0991011,,recommender_x_fairness,gap,,"Possible gap: 'Recommender Systems and Techniques' appears on only one side of this pairing (Recommender systems / Fairness in machine learning); joint or comparative evidence was not provided, so a combined treatment is worth empirical study.","Possible gap: 'Recommender Systems and Techniques' appears on only one side of this pairing (Recommender systems / Fairness in machine learning); joint or comparative evidence was not provided, so a combined treatment is worth empirical study.",,,,,,
EV-12bcdc79fc,,quantum_chemistry_x_dft,hypothesis,,"Combining the complementary expertise described in 'Bridging illustrative x illustrative: combining Quantum computing for chemistry and Density functional theory expertise' will yield measurable gains on the identified shared problem, as motivated by the cited evidence.",,"The NIMH Research Domain Criteria Initiative: Background, Issues, and Pragmatics",,,,,
EV-12e7e4904b,,knowledge_graph_x_question_answering,gap,,Future-work opportunity: Extending 'The NIMH Research Domain Criteria (RDoC) Project: Precision Medicine for Psychiatry' to broader settings is suggested by the absence of such results in the abstract.,Future-work opportunity: Extending 'The NIMH Research Domain Criteria (RDoC) Project: Precision Medicine for Psychiatry' to broader settings is suggested by the absence of such results in the abstract.,The NIMH Research Domain Criteria (RDoC) Project: Precision Medicine for Psychiatry,,,,,
EV-14601cf3fb,,gnn_x_protein_structure,intersection,Shared focus: computational drug discovery methods + protein structure and dynamics,Both profiles reference 'computational drug discovery methods'. Combining Graph neural networks for drug discovery's methods (see profile) with Protein structure prediction's methods (see profile) may advance the shared problem.,,,,,,,
EV-14e4829b4e,,recommender_x_fairness,gap,,Explicit limitation reported: The abstract of 'Persona' does not report evaluation beyond persona.,Explicit limitation reported: The abstract of 'Persona' does not report evaluation beyond persona.,Persona,,,,,
EV-16370a47ff,,speech_recognition_x_hearing_aids,hypothesis,,Applying the combined methodology suggested by 'Shared focus: speech and audio processing' will yield measurable gains on the shared problem; this remains to be empirically validated.,,,,,,,
EV-16ad7ad3a2,,rl_x_sim_to_real,gap,,"Explicit limitation reported: The abstract of 'The NIMH Research Domain Criteria Initiative: Background, Issues, and Pragmatics' does not report evaluation beyond rdoc.","Explicit limitation reported: The abstract of 'The NIMH Research Domain Criteria Initiative: Background, Issues, and Pragmatics' does not report evaluation beyond rdoc.","The NIMH Research Domain Criteria Initiative: Background, Issues, and Pragmatics",,,,,
EV-177f89baf1,,single_cell_x_transfer_learning,gap,,Explicit limitation reported: The abstract of 'Validation of the theoretical domains framework for use in behaviour change and implementation research' does not report evaluation beyond framework.,Explicit limitation reported: The abstract of 'Validation of the theoretical domains framework for use in behaviour change and implementation research' does not report evaluation beyond framework.,Validation of the theoretical domains framework for use in behaviour change and implementation research,,,,,
EV-18549bc493,,causal_inference_x_clinical_ml,gap,,Future-work opportunity: Extending 'Validation of the theoretical domains framework for use in behaviour change and implementation research' to broader settings is suggested by the absence of such results in the abstract.,Future-work opportunity: Extending 'Validation of the theoretical domains framework for use in behaviour change and implementation research' to broader settings is suggested by the absence of such results in the abstract.,Validation of the theoretical domains framework for use in behaviour change and implementation research,,,,,
EV-197e96c2d1,,recommender_x_fairness,hypothesis,,Combining the methods reported in the top retrieved papers will yield gains on No source paper in the retrieved set jointly covers 'Privacy-Preserving Technologies in Data' across Recommender systems and Fairness in machine learning; a combined treatment is missing.,,Item-based collaborative filtering recommendation algorithms; Evaluating collaborative filtering recommender systems; Neural Collaborative Filtering,,,,,
EV-1c96d07cff,,speech_recognition_x_hearing_aids,gap,,Future-work opportunity: Extending 'Illustrative Cases' to broader settings is suggested by the absence of such results in the abstract.,Future-work opportunity: Extending 'Illustrative Cases' to broader settings is suggested by the absence of such results in the abstract.,Illustrative Cases,,,,,
EV-1cba072f3b,,materials_discovery_x_active_learning,gap,,Explicit limitation reported: The abstract of 'On-the-fly closed-loop materials discovery via Bayesian active learning' does not report evaluation beyond discovery.,Explicit limitation reported: The abstract of 'On-the-fly closed-loop materials discovery via Bayesian active learning' does not report evaluation beyond discovery.,On-the-fly closed-loop materials discovery via Bayesian active learning,,,,,
EV-1cc95c0ad6,,single_cell_x_transfer_learning,gap,,No source paper in the retrieved set jointly covers 'Advanced MIMO Systems Optimization' across Single-cell genomics and Transfer learning in bioinformatics; a combined treatment is missing.,No source paper in the retrieved set jointly covers 'Advanced MIMO Systems Optimization' across Single-cell genomics and Transfer learning in bioinformatics; a combined treatment is missing.,SCANPY: large-scale single-cell gene expression data analysis; GSVA: gene set variation analysis for microarray and RNA-Seq data; limma powers differential expression analyses for RNA-sequencing and microarray studies,,,,,
EV-1d2e523c79,,single_cell_x_transfer_learning,gap,,Explicit limitation reported: The abstract of 'SCANPY: large-scale single-cell gene expression data analysis' does not report evaluation beyond data.,Explicit limitation reported: The abstract of 'SCANPY: large-scale single-cell gene expression data analysis' does not report evaluation beyond data.,SCANPY: large-scale single-cell gene expression data analysis,,,,,
EV-1d6240cda0,,causal_inference_x_clinical_ml,gap,,"Future-work opportunity: Extending 'The NIMH Research Domain Criteria Initiative: Background, Issues, and Pragmatics' to broader settings is suggested by the absence of such results in the abstract.","Future-work opportunity: Extending 'The NIMH Research Domain Criteria Initiative: Background, Issues, and Pragmatics' to broader settings is suggested by the absence of such results in the abstract.","The NIMH Research Domain Criteria Initiative: Background, Issues, and Pragmatics",,,,,
EV-1d69d39854,,speech_recognition_x_hearing_aids,hypothesis,,"Combining the complementary expertise described in 'Bridging illustrative x illustrative: combining Automatic speech recognition and Speech enhancement for hearing aids expertise' will yield measurable gains on the identified shared problem, as motivated by the cited evidence.",,ITINERIS - Italian Integrated Environmental Research Infrastructures System - Marine Domain ,,,,,
EV-1d858182ad,,recommender_x_fairness,gap,,Future-work opportunity: Extending 'Dissecting racial bias in an algorithm used to manage the health of populations' to broader settings is suggested by the absence of such results in the abstract.,Future-work opportunity: Extending 'Dissecting racial bias in an algorithm used to manage the health of populations' to broader settings is suggested by the absence of such results in the abstract.,Dissecting racial bias in an algorithm used to manage the health of populations,,,,,
EV-1e13c68bf5,,causal_inference_x_clinical_ml,gap,,Explicit limitation reported: The abstract of 'TRIPOD+AI statement: updated guidance for reporting clinical prediction models that use regression or machine learning methods' does not report evaluation beyond tripod.,Explicit limitation reported: The abstract of 'TRIPOD+AI statement: updated guidance for reporting clinical prediction models that use regression or machine learning methods' does not report evaluation beyond tripod.,TRIPOD+AI statement: updated guidance for reporting clinical prediction models that use regression or machine learning methods,,,,,
EV-1e7c893a88,,single_cell_x_transfer_learning,intersection,Bridging illustrative x illustrative: combining Single-cell genomics and Transfer learning in bioinformatics expertise,Both publication records touch 'illustrative x illustrative'. A joint direction could combine the methods of Single-cell genomics with the methods of Transfer learning in bioinformatics to address the identified gap. No relevant evidence was found in the searched literature.,"Future-work opportunity: Extending 'Dictionary learning for integrative, multimodal and scalable single-cell analysis' to broader settings is suggested by the absence of such results in the abstract.","Dictionary learning for integrative, multimodal and scalable single-cell analysis",,,,,
EV-1f38fcf857,,gnn_x_protein_structure,gap,,"Possible gap: 'Machine Learning in Materials Science' appears on only one side of this pairing (Graph neural networks for drug discovery / Protein structure prediction); joint or comparative evidence was not provided, so a combined treatment is worth empirical study.","Possible gap: 'Machine Learning in Materials Science' appears on only one side of this pairing (Graph neural networks for drug discovery / Protein structure prediction); joint or comparative evidence was not provided, so a combined treatment is worth empirical study.",,,,,,
EV-20165f6924,,rl_x_sim_to_real,hypothesis,,"Combining the complementary expertise described in 'Bridging illustrative x illustrative: combining Reinforcement learning for robot control and Sim-to-real transfer in robotics expertise' will yield measurable gains on the identified shared problem, as motivated by the cited evidence.",,Real–Sim–Real Transfer for Real-World Robot Control Policy Learning with Deep Reinforcement Learning,,,,,
EV-2093586be2,,knowledge_graph_x_question_answering,hypothesis,,Applying the combined methodology suggested by 'Shared focus: advanced graph neural networks + domain adaptation and few-shot learning' will yield measurable gains on the shared problem; this remains to be empirically validated.,,,,,,,
EV-21c8032ab3,,federated_learning_x_privacy,gap,,"Explicit limitation reported: The abstract of 'Secure, privacy-preserving and federated machine learning in medical imaging' does not report evaluation beyond data.","Explicit limitation reported: The abstract of 'Secure, privacy-preserving and federated machine learning in medical imaging' does not report evaluation beyond data.","Secure, privacy-preserving and federated machine learning in medical imaging",,,,,
EV-22aeccfd27,,materials_discovery_x_active_learning,gap,,"Possible gap: '2D Materials and Applications' appears on only one side of this pairing (Machine learning for materials discovery / Active learning for experimental design); joint or comparative evidence was not provided, so a combined treatment is worth empirical study.","Possible gap: '2D Materials and Applications' appears on only one side of this pairing (Machine learning for materials discovery / Active learning for experimental design); joint or comparative evidence was not provided, so a combined treatment is worth empirical study.",,,,,,
EV-2351750dd5,,recommender_x_fairness,gap,,No source paper in the retrieved set jointly covers 'Privacy-Preserving Technologies in Data' across Recommender systems and Fairness in machine learning; a combined treatment is missing.,No source paper in the retrieved set jointly covers 'Privacy-Preserving Technologies in Data' across Recommender systems and Fairness in machine learning; a combined treatment is missing.,Item-based collaborative filtering recommendation algorithms; Evaluating collaborative filtering recommender systems; Neural Collaborative Filtering,,,,,
EV-23d40edd0f,,climate_downscaling_x_deep_learning,gap,,Future-work opportunity: Extending 'Tackling Climate Change with Machine Learning' to broader settings is suggested by the absence of such results in the abstract.,Future-work opportunity: Extending 'Tackling Climate Change with Machine Learning' to broader settings is suggested by the absence of such results in the abstract.,Tackling Climate Change with Machine Learning,,,,,
EV-250953485c,,recommender_x_fairness,gap,,Future-work opportunity: Extending 'The NIMH Research Domain Criteria (RDoC) Project: Precision Medicine for Psychiatry' to broader settings is suggested by the absence of such results in the abstract.,Future-work opportunity: Extending 'The NIMH Research Domain Criteria (RDoC) Project: Precision Medicine for Psychiatry' to broader settings is suggested by the absence of such results in the abstract.,The NIMH Research Domain Criteria (RDoC) Project: Precision Medicine for Psychiatry,,,,,
EV-25cd22726a,,rl_x_sim_to_real,gap,,Future-work opportunity: Extending 'Developing constructs for psychopathology research: Research domain criteria.' to broader settings is suggested by the absence of such results in the abstract.,Future-work opportunity: Extending 'Developing constructs for psychopathology research: Research domain criteria.' to broader settings is suggested by the absence of such results in the abstract.,Developing constructs for psychopathology research: Research domain criteria.,,,,,
EV-263f1a0ac4,,federated_learning_x_privacy,gap,,"Possible gap: 'Machine Learning in Healthcare' appears on only one side of this pairing (Federated learning for healthcare / Differential privacy in machine learning); joint or comparative evidence was not provided, so a combined treatment is worth empirical study.","Possible gap: 'Machine Learning in Healthcare' appears on only one side of this pairing (Federated learning for healthcare / Differential privacy in machine learning); joint or comparative evidence was not provided, so a combined treatment is worth empirical study.",,,,,,
EV-2671c03c9e,,causal_inference_x_clinical_ml,gap,,Explicit limitation reported: The abstract of 'Developing constructs for psychopathology research: Research domain criteria.' does not report evaluation beyond mechanisms.,Explicit limitation reported: The abstract of 'Developing constructs for psychopathology research: Research domain criteria.' does not report evaluation beyond mechanisms.,Developing constructs for psychopathology research: Research domain criteria.,,,,,
EV-26be2ad9e1,,rl_x_sim_to_real,hypothesis,,Combining the methods reported in the top retrieved papers will yield gains on No source paper in the retrieved set jointly covers 'Adaptive Dynamic Programming Control' across Reinforcement learning for robot control and Sim-to-real transfer in robotics; a combined treatment is missing.,,Sim-to-Real Transfer of Robotic Control with Dynamics Randomization; Sim-to-Real Transfer in Deep Reinforcement Learning for Robotics: a Survey; Continual lifelong learning with neural networks: A review,,,,,
EV-27a7c0a45f,,recommender_x_fairness,hypothesis,,The most embedding-similar papers jointly cover the researchers' interests; combining their methods warrants empirical evaluation.,,Neural Collaborative Filtering; LSQR: An Algorithm for Sparse Linear Equations and Sparse Least Squares; Evaluating collaborative filtering recommender systems,,,,,
EV-27da902e8c,,single_cell_x_transfer_learning,gap,,Explicit limitation reported: The abstract of 'Diagnostic and Statistical Manual of Mental Disorders' does not report evaluation beyond para.,Explicit limitation reported: The abstract of 'Diagnostic and Statistical Manual of Mental Disorders' does not report evaluation beyond para.,Diagnostic and Statistical Manual of Mental Disorders,,,,,
EV-289a3752d9,,climate_downscaling_x_deep_learning,gap,,Explicit limitation reported: The abstract of 'Validation of the theoretical domains framework for use in behaviour change and implementation research' does not report evaluation beyond framework.,Explicit limitation reported: The abstract of 'Validation of the theoretical domains framework for use in behaviour change and implementation research' does not report evaluation beyond framework.,Validation of the theoretical domains framework for use in behaviour change and implementation research,,,,,
EV-289bfcaeb7,,materials_discovery_x_active_learning,hypothesis,,Applying the combined methodology suggested by 'Shared focus: computational drug discovery methods + machine learning in materials science' will yield measurable gains on the shared problem; this remains to be empirically validated.,,,,,,,
EV-28f7394b34,,gnn_x_protein_structure,gap,,"Possible gap: 'Advanced Graph Neural Networks' appears on only one side of this pairing (Graph neural networks for drug discovery / Protein structure prediction); joint or comparative evidence was not provided, so a combined treatment is worth empirical study.","Possible gap: 'Advanced Graph Neural Networks' appears on only one side of this pairing (Graph neural networks for drug discovery / Protein structure prediction); joint or comparative evidence was not provided, so a combined treatment is worth empirical study.",,,,,,
EV-29bde1def8,,clinical_nlp_x_ehr,gap,,No source paper in the retrieved set jointly covers 'Natural Language Processing Techniques' across Natural language processing for clinical text and Electronic health record analytics; a combined treatment is missing.,No source paper in the retrieved set jointly covers 'Natural Language Processing Techniques' across Natural language processing for clinical text and Electronic health record analytics; a combined treatment is missing.,Deep EHR: A Survey of Recent Advances in Deep Learning Techniques for Electronic Health Record (EHR) Analysis; Scalable and accurate deep learning with electronic health records; Natural Language Processing of Clinical Notes on Chronic Diseases: Systematic Review,,,,,
EV-2a7570552d,,clinical_nlp_x_ehr,gap,,Future-work opportunity: Extending 'Diagnostic and Statistical Manual of Mental Disorders' to broader settings is suggested by the absence of such results in the abstract.,Future-work opportunity: Extending 'Diagnostic and Statistical Manual of Mental Disorders' to broader settings is suggested by the absence of such results in the abstract.,Diagnostic and Statistical Manual of Mental Disorders,,,,,
EV-2b94e7b5ca,,clinical_nlp_x_ehr,gap,,Future-work opportunity: Extending 'Validation of the theoretical domains framework for use in behaviour change and implementation research' to broader settings is suggested by the absence of such results in the abstract.,Future-work opportunity: Extending 'Validation of the theoretical domains framework for use in behaviour change and implementation research' to broader settings is suggested by the absence of such results in the abstract.,Validation of the theoretical domains framework for use in behaviour change and implementation research,,,,,
EV-2bb8b4d665,,speech_recognition_x_hearing_aids,gap,,Future-work opportunity: Extending 'Ofrecimiento' to broader settings is suggested by the absence of such results in the abstract.,Future-work opportunity: Extending 'Ofrecimiento' to broader settings is suggested by the absence of such results in the abstract.,Ofrecimiento,,,,,
EV-2c0b130897,,climate_downscaling_x_deep_learning,hypothesis,,"Combining the complementary expertise described in 'Bridging illustrative x illustrative: combining Statistical climate downscaling and Deep learning for earth observation expertise' will yield measurable gains on the identified shared problem, as motivated by the cited evidence.",,Tackling Climate Change with Machine Learning,,,,,
EV-2d30508b6c,,knowledge_graph_x_question_answering,gap,,Future-work opportunity: Extending 'Developing constructs for psychopathology research: Research domain criteria.' to broader settings is suggested by the absence of such results in the abstract.,Future-work opportunity: Extending 'Developing constructs for psychopathology research: Research domain criteria.' to broader settings is suggested by the absence of such results in the abstract.,Developing constructs for psychopathology research: Research domain criteria.,,,,,
