eval_id,rater,case_id,surface,title,description,research_gap,evidence_references,relevance,novelty,plausibility,evidence_quality,notes
EV-0b05c0aeff,,quantum_chemistry_x_dft,intersection,Quantum and electron transport phenomena,"Both researchers have an interest in Quantum and Electron Transport Phenomena (Researcher A) and Spectroscopy and Quantum Chemical Studies (Researcher B). This area could benefit from a combined approach, potentially leading to new insights into quantum transport mechanisms.",,,,,,,
EV-0ea54ebc12,,clinical_nlp_x_ehr,intersection,Bridging 'Deep EHR: A Survey of Recent Advances in Deep Learning Techn' and 'Scalable and accurate deep learning with electronic health r',The two most overlapping papers share vocabulary with the combined expertise of Natural language processing for clinical text and Electronic health record analytics; combining their reported methods is a plausible joint direction.,No source paper in the retrieved set jointly covers 'Topic Modeling' across Natural language processing for clinical text and Electronic health record analytics; a combined treatment is missing.,Deep EHR: A Survey of Recent Advances in Deep Learning Techniques for Electronic Health Record (EHR) Analysis; Scalable and accurate deep learning with electronic health records; Natural Language Processing of Clinical Notes on Chronic Diseases: Systematic Review,,,,,
EV-10c62dd604,,single_cell_x_transfer_learning,intersection,Integration of Single-cell Genomics with Transfer Learning in Bioinformatics,"This intersection explores the application of transfer learning techniques to improve the analysis and interpretation of single-cell genomics data, enhancing both reproducibility and generalizability.","There is a gap in the application of transfer learning techniques specifically tailored for single-cell genomics data, which could significantly enhance the field's understanding and utility.","Dictionary learning for integrative, multimodal and scalable single-cell analysis; ITINERIS - Italian Integrated Environmental Research Infrastructures System - Marine Domain ",,,,,
EV-14601cf3fb,,rl_x_sim_to_real,hypothesis,,The most embedding-similar papers jointly cover the researchers' interests; combining their methods warrants empirical evaluation.,,Sim-to-Real Transfer in Deep Reinforcement Learning for Robotics: a Survey; Active Learning Literature Survey; Sim-to-Real Transfer of Robotic Control with Dynamics Randomization,,,,,
EV-18549bc493,,climate_downscaling_x_deep_learning,gap,,The review 'A Transdisciplinary Review of Deep Learning Research and Its Relevance for Water Resources Scientists' does not provide specific technical details or case studies from the field of water resources.,The review 'A Transdisciplinary Review of Deep Learning Research and Its Relevance for Water Resources Scientists' does not provide specific technical details or case studies from the field of water resources.,A Transdisciplinary Review of Deep Learning Research and Its Relevance for Water Resources Scientists,,,,,
EV-1d6240cda0,,climate_downscaling_x_deep_learning,hypothesis,,"Combining statistical downscaling methods with deep learning could lead to more accurate predictions of climate variability, particularly in regions with limited observational data.",,,,,,,
EV-1e13c68bf5,,climate_downscaling_x_deep_learning,gap,,Retrieved coverage is limited to the listed papers; a deeper corpus would be needed to confirm gaps between Statistical climate downscaling and Deep learning for earth observation.,Retrieved coverage is limited to the listed papers; a deeper corpus would be needed to confirm gaps between Statistical climate downscaling and Deep learning for earth observation.,Transferring Deep Convolutional Neural Networks for the Scene Classification of High-Resolution Remote Sensing Imagery; Deep learning in remote sensing applications: A meta-analysis and review; Precipitation downscaling under climate change: Recent developments to bridge the gap between dynamical models and the end user,,,,,
EV-1f38fcf857,,recommender_x_fairness,hypothesis,,"By integrating fairness principles from machine learning into recommender systems, we can develop more robust and fair methods that enhance the reproducibility and generalizability of findings.",,ITINERIS - Italian Integrated Environmental Research Infrastructures System - Marine Domain ,,,,,
EV-2093586be2,,speech_recognition_x_hearing_aids,gap,,"The paper 'A Consolidated Perspective on Multimicrophone Speech Enhancement and Source Separation' lacks new research findings, which could be a gap in the literature.","The paper 'A Consolidated Perspective on Multimicrophone Speech Enhancement and Source Separation' lacks new research findings, which could be a gap in the literature.",A Consolidated Perspective on Multimicrophone Speech Enhancement and Source Separation,,,,,
EV-21c8032ab3,,quantum_chemistry_x_dft,hypothesis,,Advancements in quantum computing algorithms can significantly enhance the accuracy of spectroscopic studies by providing more efficient and powerful computational methods for analyzing complex chemical systems.,,,,,,,
EV-23d40edd0f,,federated_learning_x_privacy,hypothesis,,The most embedding-similar papers jointly cover the researchers' interests; combining their methods warrants empirical evaluation.,,"Federated Learning for Smart Healthcare: A Survey; Deep learning for healthcare: review, opportunities and challenges; Advances and Open Problems in Federated Learning",,,,,
EV-263f1a0ac4,,materials_discovery_x_active_learning,intersection,Integration of Machine Learning and Active Learning in Experimental Design,This intersection explores the potential synergy between machine learning for materials discovery and active learning techniques to enhance experimental design.,There is a gap in understanding how these two methodologies can be integrated effectively for materials discovery and experimental design optimization.,,,,,,
EV-2671c03c9e,,climate_downscaling_x_deep_learning,hypothesis,,The integration of statistical downscaling and deep learning will lead to more accurate and robust climate predictions compared to using either method alone.,,ITINERIS - Italian Integrated Environmental Research Infrastructures System - Marine Domain ; Deep Learning for Daily Precipitation and Temperature Downscaling; Configuration and intercomparison of deep learning neural models for statistical downscaling,,,,,
EV-289a3752d9,,federated_learning_x_privacy,gap,,"The paper 'Diagnostic and Statistical Manual of Mental Disorders' depends on user consent for data collection, which may introduce potential bias due to the nature of public social media data.","The paper 'Diagnostic and Statistical Manual of Mental Disorders' depends on user consent for data collection, which may introduce potential bias due to the nature of public social media data.",Diagnostic and Statistical Manual of Mental Disorders,,,,,
EV-28f7394b34,,rl_x_sim_to_real,intersection,Similarity bridge: 'Sim-to-Real Transfer in Deep Reinforcement Learning for Robo' and 'Active Learning Literature Survey',The two corpus papers most similar (embedding-wise) to the combined researcher inputs are proposed as the basis of a joint direction.,Topics outside the top-ranked papers are least similar to the combined inputs for Reinforcement learning for robot control and Sim-to-real transfer in robotics; such topics are not jointly evidenced.,Sim-to-Real Transfer in Deep Reinforcement Learning for Robotics: a Survey; Active Learning Literature Survey; Sim-to-Real Transfer of Robotic Control with Dynamics Randomization,,,,,
EV-29bde1def8,,gnn_x_protein_structure,gap,,"There is no direct intersection between the topics of graph neural networks in computational drug discovery and protein structure prediction, which could hinder collaborative research.","There is no direct intersection between the topics of graph neural networks in computational drug discovery and protein structure prediction, which could hinder collaborative research.",,,,,,
EV-2a7570552d,,materials_discovery_x_active_learning,gap,,Topics outside the top-ranked papers are least similar to the combined inputs for Machine learning for materials discovery and Active learning for experimental design; such topics are not jointly evidenced.,Topics outside the top-ranked papers are least similar to the combined inputs for Machine learning for materials discovery and Active learning for experimental design; such topics are not jointly evidenced.,Materials discovery and design using machine learning; Recent advances and applications of machine learning in solid-state materials science; Commentary: The Materials Project: A materials genome approach to accelerating materials innovation,,,,,
EV-2b94e7b5ca,,materials_discovery_x_active_learning,hypothesis,,The most embedding-similar papers jointly cover the researchers' interests; combining their methods warrants empirical evaluation.,,Materials discovery and design using machine learning; Recent advances and applications of machine learning in solid-state materials science; Commentary: The Materials Project: A materials genome approach to accelerating materials innovation,,,,,
EV-2c0b130897,,gnn_x_protein_structure,intersection,Similarity bridge: 'SWISS-MODEL: homology modelling of protein structures and co' and 'Scientific Machine Learning Through Physics–Informed Neural ',The two corpus papers most similar (embedding-wise) to the combined researcher inputs are proposed as the basis of a joint direction.,Topics outside the top-ranked papers are least similar to the combined inputs for Graph neural networks for drug discovery and Protein structure prediction; such topics are not jointly evidenced.,SWISS-MODEL: homology modelling of protein structures and complexes; Scientific Machine Learning Through Physics–Informed Neural Networks: Where we are and What’s Next; Neural Message Passing for Quantum Chemistry,,,,,
EV-2d69dfc700,,clinical_nlp_x_ehr,hypothesis,,Combining the methods reported in the top retrieved papers will yield gains on No source paper in the retrieved set jointly covers 'Topic Modeling' across Natural language processing for clinical text and Electronic health record analytics; a combined treatment is missing.,,Deep EHR: A Survey of Recent Advances in Deep Learning Techniques for Electronic Health Record (EHR) Analysis; Scalable and accurate deep learning with electronic health records; Natural Language Processing of Clinical Notes on Chronic Diseases: Systematic Review,,,,,
EV-2d934dd23d,,federated_learning_x_privacy,intersection,"Similarity bridge: 'Federated Learning for Smart Healthcare: A Survey' and 'Deep learning for healthcare: review, opportunities and chal'",The two corpus papers most similar (embedding-wise) to the combined researcher inputs are proposed as the basis of a joint direction.,Topics outside the top-ranked papers are least similar to the combined inputs for Federated learning for healthcare and Differential privacy in machine learning; such topics are not jointly evidenced.,"Federated Learning for Smart Healthcare: A Survey; Deep learning for healthcare: review, opportunities and challenges; Advances and Open Problems in Federated Learning",,,,,
EV-310653f610,,climate_downscaling_x_deep_learning,intersection,Similarity bridge: 'Precipitation downscaling under climate change: Recent devel' and 'Statistical Downscaling and Bias Correction for Climate Rese',The two corpus papers most similar (embedding-wise) to the combined researcher inputs are proposed as the basis of a joint direction.,Topics outside the top-ranked papers are least similar to the combined inputs for Statistical climate downscaling and Deep learning for earth observation; such topics are not jointly evidenced.,Precipitation downscaling under climate change: Recent developments to bridge the gap between dynamical models and the end user; Statistical Downscaling and Bias Correction for Climate Research; Guidelines For Use Of Climate Scenarios Developed From Statistical Downscaling Methods.,,,,,
EV-314a1a5ec6,,single_cell_x_transfer_learning,intersection,Gene expression and cancer classification,This is another overlapping area where both researchers could potentially combine their expertise to advance knowledge.,,,,,,,
EV-324f17b365,,speech_recognition_x_hearing_aids,gap,,"There is no direct intersection between 'Automatic Speech Recognition' and 'Speech Enhancement for Hearing Aids' in terms of specific methods or techniques, as both researchers have distinct focuses.","There is no direct intersection between 'Automatic Speech Recognition' and 'Speech Enhancement for Hearing Aids' in terms of specific methods or techniques, as both researchers have distinct focuses.",,,,,,
EV-34ec5dd57e,,federated_learning_x_privacy,gap,,"The study on 'Federated learning and differential privacy for medical image analysis' is based on simulations, which may not fully reflect real-world scenarios.","The study on 'Federated learning and differential privacy for medical image analysis' is based on simulations, which may not fully reflect real-world scenarios.",Federated learning and differential privacy for medical image analysis,,,,,
EV-35d7690d13,,knowledge_graph_x_question_answering,gap,,"Researcher A focuses on advanced graph neural networks, while Researcher B emphasizes multimodal machine learning applications. There is no overlap in their specific methodological interests.","Researcher A focuses on advanced graph neural networks, while Researcher B emphasizes multimodal machine learning applications. There is no overlap in their specific methodological interests.",,,,,,
EV-3e418ac01f,,materials_discovery_x_active_learning,intersection,Similarity bridge: 'Materials discovery and design using machine learning' and 'Recent advances and applications of machine learning in soli',The two corpus papers most similar (embedding-wise) to the combined researcher inputs are proposed as the basis of a joint direction.,Topics outside the top-ranked papers are least similar to the combined inputs for Machine learning for materials discovery and Active learning for experimental design; such topics are not jointly evidenced.,Materials discovery and design using machine learning; Recent advances and applications of machine learning in solid-state materials science; Commentary: The Materials Project: A materials genome approach to accelerating materials innovation,,,,,
EV-3f4cdfaff6,,clinical_nlp_x_ehr,hypothesis,,The most embedding-similar papers jointly cover the researchers' interests; combining their methods warrants empirical evaluation.,,Machine Learning and Data Mining Methods in Diabetes Research; Deep EHR: A Survey of Recent Advances in Deep Learning Techniques for Electronic Health Record (EHR) Analysis; Scalable and accurate deep learning with electronic health records,,,,,
EV-3fc208e384,,climate_downscaling_x_deep_learning,gap,,The paper 'ITINERIS - Italian Integrated Environmental Research Infrastructures System - Marine Domain' lacks specific details on the methodologies used for integration and harmonization of existing observing capabilities.,The paper 'ITINERIS - Italian Integrated Environmental Research Infrastructures System - Marine Domain' lacks specific details on the methodologies used for integration and harmonization of existing observing capabilities.,ITINERIS - Italian Integrated Environmental Research Infrastructures System - Marine Domain ,,,,,
EV-412c876d8e,,causal_inference_x_clinical_ml,gap,,"There is a gap in the integration of advanced causal inference techniques with machine learning methods for clinical prediction. The researchers' individual interests do not directly overlap, making it challenging to find common ground.","There is a gap in the integration of advanced causal inference techniques with machine learning methods for clinical prediction. The researchers' individual interests do not directly overlap, making it challenging to find common ground.",,,,,,
EV-4533cce49b,,federated_learning_x_privacy,intersection,Federated Learning and Differential Privacy in Healthcare,"Both researchers focus on the intersection of federated learning, differential privacy, and healthcare. Researcher A specializes in federated learning for healthcare while Researcher B focuses on differential privacy in machine learning.","There are gaps in empirical evidence and specific methodologies that need addressing, as highlighted by several existing papers (e.g., 'Federated learning and differential privacy for medical image analysis', 'Differential Privacy for Deep and Federated Learning: A Survey').","Federated learning and differential privacy for medical image analysis; Differential Privacy for Deep and Federated Learning: A Survey; The future of digital health with federated learning; Secure, privacy-preserving and federated machine learning in medical imaging; Deep learning for healthcare: review, opportunities and challenges",,,,,
EV-4796fb9c43,,rl_x_sim_to_real,intersection,Bridging 'Sim-to-Real Transfer of Robotic Control with Dynamics Random' and 'Sim-to-Real Transfer in Deep Reinforcement Learning for Robo',The two most overlapping papers share vocabulary with the combined expertise of Reinforcement learning for robot control and Sim-to-real transfer in robotics; combining their reported methods is a plausible joint direction.,No source paper in the retrieved set jointly covers 'Adaptive Dynamic Programming Control' across Reinforcement learning for robot control and Sim-to-real transfer in robotics; a combined treatment is missing.,Sim-to-Real Transfer of Robotic Control with Dynamics Randomization; Sim-to-Real Transfer in Deep Reinforcement Learning for Robotics: a Survey; Continual lifelong learning with neural networks: A review,,,,,
EV-47e9bf4269,,single_cell_x_transfer_learning,intersection,Single-cell and spatial transcriptomics,"Both researchers are interested in this topic, suggesting potential areas for collaboration or integration of methods.",,,,,,,
EV-494384932a,,causal_inference_x_clinical_ml,intersection,Similarity bridge: 'Machine learning applications in cancer prognosis and predic' and 'The MR-Base platform supports systematic causal inference ac',The two corpus papers most similar (embedding-wise) to the combined researcher inputs are proposed as the basis of a joint direction.,Topics outside the top-ranked papers are least similar to the combined inputs for Causal inference in epidemiology and Machine learning for clinical prediction; such topics are not jointly evidenced.,Machine learning applications in cancer prognosis and prediction; The MR-Base platform supports systematic causal inference across the human phenome; Marginal Structural Models and Causal Inference in Epidemiology,,,,,
EV-4963deac5a,,gnn_x_protein_structure,hypothesis,,The most embedding-similar papers jointly cover the researchers' interests; combining their methods warrants empirical evaluation.,,SWISS-MODEL: homology modelling of protein structures and complexes; Scientific Machine Learning Through Physics–Informed Neural Networks: Where we are and What’s Next; Neural Message Passing for Quantum Chemistry,,,,,
EV-4a0f862d85,,materials_discovery_x_active_learning,intersection,Machine Learning in Materials Science,"Both researchers share an interest in this topic, indicating potential for collaboration or shared knowledge exchange.",,,,,,,
EV-4af2fdac03,,speech_recognition_x_hearing_aids,hypothesis,,The most embedding-similar papers jointly cover the researchers' interests; combining their methods warrants empirical evaluation.,,Speech Enhancement; Speech enhancement theory and practice; A Consolidated Perspective on Multimicrophone Speech Enhancement and Source Separation,,,,,
EV-4c9361ceb6,,clinical_nlp_x_ehr,hypothesis,,"Given the shared interest in machine learning applications, there could be potential for joint research on predictive analytics in clinical settings using EHR data.",,,,,,,
EV-4f12a023db,,quantum_chemistry_x_dft,gap,,Retrieved coverage is limited to the listed papers; a deeper corpus would be needed to confirm gaps between Quantum computing for chemistry and Density functional theory.,Retrieved coverage is limited to the listed papers; a deeper corpus would be needed to confirm gaps between Quantum computing for chemistry and Density functional theory.,"QUANTUM ESPRESSO: a modular and open-source software project for quantum simulations of materials; Quantum Computing in the NISQ era and beyond; The M06 suite of density functionals for main group thermochemistry, thermochemical kinetics, noncovalent interactions, excited states, and transition elements: two new functionals and systematic testing of four M06-class functionals and 12 other functionals",,,,,
EV-4f160bfc02,,gnn_x_protein_structure,gap,,Topics outside the top-ranked papers are least similar to the combined inputs for Graph neural networks for drug discovery and Protein structure prediction; such topics are not jointly evidenced.,Topics outside the top-ranked papers are least similar to the combined inputs for Graph neural networks for drug discovery and Protein structure prediction; such topics are not jointly evidenced.,SWISS-MODEL: homology modelling of protein structures and complexes; Scientific Machine Learning Through Physics–Informed Neural Networks: Where we are and What’s Next; Neural Message Passing for Quantum Chemistry,,,,,
EV-505d6ec804,,recommender_x_fairness,intersection,Intersection of Methodological Gaps in Recommender Systems and Fairness,"There is a methodological gap in the 'ITINERIS - Italian Integrated Environmental Research Infrastructures System - Marine Domain' paper, which could be addressed by integrating fairness principles from machine learning.","Methodological gaps exist in both areas, particularly in the lack of specific empirical evidence and datasets.",ITINERIS - Italian Integrated Environmental Research Infrastructures System - Marine Domain ,,,,,
EV-507b246063,,federated_learning_x_privacy,intersection,Bridging 'Deep Learning with Differential Privacy' and 'The future of digital health with federated learning',The two most overlapping papers share vocabulary with the combined expertise of Federated learning for healthcare and Differential privacy in machine learning; combining their reported methods is a plausible joint direction.,Retrieved coverage is limited to the listed papers; a deeper corpus would be needed to confirm gaps between Federated learning for healthcare and Differential privacy in machine learning.,Deep Learning with Differential Privacy; The future of digital health with federated learning; Advances and Open Problems in Federated Learning,,,,,
EV-50e86c2b33,,quantum_chemistry_x_dft,intersection,Quantum Computing Algorithms and Architecture,"Both researchers have an interest in Quantum Computing Algorithms and Architecture (Researcher A) and Spectroscopy and Quantum Chemical Studies (Researcher B). However, the direct application of quantum computing algorithms to spectroscopic methods is not explicitly covered.",,,,,,,
EV-51a26e7e5a,,quantum_chemistry_x_dft,hypothesis,,The most embedding-similar papers jointly cover the researchers' interests; combining their methods warrants empirical evaluation.,,QUANTUM ESPRESSO: a modular and open-source software project for quantum simulations of materials; Quantum Computing in the NISQ era and beyond; Self-Consistent Equations Including Exchange and Correlation Effects,,,,,
EV-5253cd8990,,materials_discovery_x_active_learning,intersection,X-ray Diffraction in Crystallography,"This topic is a common ground between the two researchers, suggesting it could be used as a basis for interdisciplinary research.",,,,,,,
EV-5557a0fc17,,quantum_chemistry_x_dft,gap,,The paper 'Research Domain Criteria' has limited evidence provided within the abstract for supporting claims.,The paper 'Research Domain Criteria' has limited evidence provided within the abstract for supporting claims.,Research Domain Criteria,,,,,
EV-5704fb9a3d,,recommender_x_fairness,hypothesis,,Developing fairness-aware bandit algorithms could lead to more equitable recommender systems without sacrificing performance.,,,,,,,
EV-57f748bad3,,knowledge_graph_x_question_answering,intersection,Bridging 'Knowledge Graph Embedding: A Survey of Approaches and Applic' and 'Knowledge Graph Embedding by Translating on Hyperplanes',The two most overlapping papers share vocabulary with the combined expertise of Knowledge graph embeddings and Question answering over knowledge bases; combining their reported methods is a plausible joint direction.,No source paper in the retrieved set jointly covers 'Multimodal Machine Learning Applications' across Knowledge graph embeddings and Question answering over knowledge bases; a combined treatment is missing.,Knowledge Graph Embedding: A Survey of Approaches and Applications; Knowledge Graph Embedding by Translating on Hyperplanes; Learning Entity and Relation Embeddings for Knowledge Graph Completion,,,,,
EV-593bb4bf16,,recommender_x_fairness,intersection,Bridging 'Item-based collaborative filtering recommendation algorithms' and 'Evaluating collaborative filtering recommender systems',The two most overlapping papers share vocabulary with the combined expertise of Recommender systems and Fairness in machine learning; combining their reported methods is a plausible joint direction.,No source paper in the retrieved set jointly covers 'Privacy-Preserving Technologies in Data' across Recommender systems and Fairness in machine learning; a combined treatment is missing.,Item-based collaborative filtering recommendation algorithms; Evaluating collaborative filtering recommender systems; Neural Collaborative Filtering,,,,,
EV-598a2f89dc,,clinical_nlp_x_ehr,gap,,"Researcher A focuses on 'Natural Language Processing Techniques' but does not specify any particular methods, while Researcher B includes specific areas such as 'Sepsis Diagnosis and Treatment'. This gap suggests a potential focus difference in the application of NLP techniques.","Researcher A focuses on 'Natural Language Processing Techniques' but does not specify any particular methods, while Researcher B includes specific areas such as 'Sepsis Diagnosis and Treatment'. This gap suggests a potential focus difference in the application of NLP techniques.",,,,,,
EV-5b0710c043,,single_cell_x_transfer_learning,gap,,Topics outside the top-ranked papers are least similar to the combined inputs for Single-cell genomics and Transfer learning in bioinformatics; such topics are not jointly evidenced.,Topics outside the top-ranked papers are least similar to the combined inputs for Single-cell genomics and Transfer learning in bioinformatics; such topics are not jointly evidenced.,GSVA: gene set variation analysis for microarray and RNA-Seq data; SCANPY: large-scale single-cell gene expression data analysis; limma powers differential expression analyses for RNA-sequencing and microarray studies,,,,,
EV-6003636985,,climate_downscaling_x_deep_learning,hypothesis,,"Integration of remote sensing and advanced image processing techniques can improve the spatial resolution and accuracy of climate models, aiding in better resource management and environmental planning.",,,,,,,
EV-6155a83e50,,climate_downscaling_x_deep_learning,intersection,Bridging 'Transferring Deep Convolutional Neural Networks for the Scen' and 'Deep learning in remote sensing applications: A meta-analysi',The two most overlapping papers share vocabulary with the combined expertise of Statistical climate downscaling and Deep learning for earth observation; combining their reported methods is a plausible joint direction.,Retrieved coverage is limited to the listed papers; a deeper corpus would be needed to confirm gaps between Statistical climate downscaling and Deep learning for earth observation.,Transferring Deep Convolutional Neural Networks for the Scene Classification of High-Resolution Remote Sensing Imagery; Deep learning in remote sensing applications: A meta-analysis and review; Precipitation downscaling under climate change: Recent developments to bridge the gap between dynamical models and the end user,,,,,
EV-616436ecb4,,clinical_nlp_x_ehr,intersection,Similarity bridge: 'Machine Learning and Data Mining Methods in Diabetes Researc' and 'Deep EHR: A Survey of Recent Advances in Deep Learning Techn',The two corpus papers most similar (embedding-wise) to the combined researcher inputs are proposed as the basis of a joint direction.,Topics outside the top-ranked papers are least similar to the combined inputs for Natural language processing for clinical text and Electronic health record analytics; such topics are not jointly evidenced.,Machine Learning and Data Mining Methods in Diabetes Research; Deep EHR: A Survey of Recent Advances in Deep Learning Techniques for Electronic Health Record (EHR) Analysis; Scalable and accurate deep learning with electronic health records,,,,,
EV-62e60d2577,,single_cell_x_transfer_learning,intersection,Similarity bridge: 'GSVA: gene set variation analysis for microarray and RNA-Seq' and 'SCANPY: large-scale single-cell gene expression data analysi',The two corpus papers most similar (embedding-wise) to the combined researcher inputs are proposed as the basis of a joint direction.,Topics outside the top-ranked papers are least similar to the combined inputs for Single-cell genomics and Transfer learning in bioinformatics; such topics are not jointly evidenced.,GSVA: gene set variation analysis for microarray and RNA-Seq data; SCANPY: large-scale single-cell gene expression data analysis; limma powers differential expression analyses for RNA-sequencing and microarray studies,,,,,
EV-6385c2103b,,recommender_x_fairness,gap,,"The paper 'Diagnostic and Statistical Manual of Mental Disorders' is dependent on Instagram's terms of service and data privacy policies, which could introduce biases in the training dataset for machine learning models.","The paper 'Diagnostic and Statistical Manual of Mental Disorders' is dependent on Instagram's terms of service and data privacy policies, which could introduce biases in the training dataset for machine learning models.",Diagnostic and Statistical Manual of Mental Disorders,,,,,
EV-68a88e4e41,,quantum_chemistry_x_dft,intersection,Similarity bridge: 'QUANTUM ESPRESSO: a modular and open-source software project' and 'Quantum Computing in the NISQ era and beyond',The two corpus papers most similar (embedding-wise) to the combined researcher inputs are proposed as the basis of a joint direction.,Topics outside the top-ranked papers are least similar to the combined inputs for Quantum computing for chemistry and Density functional theory; such topics are not jointly evidenced.,QUANTUM ESPRESSO: a modular and open-source software project for quantum simulations of materials; Quantum Computing in the NISQ era and beyond; Self-Consistent Equations Including Exchange and Correlation Effects,,,,,
EV-6b26b66899,,knowledge_graph_x_question_answering,gap,,Topics outside the top-ranked papers are least similar to the combined inputs for Knowledge graph embeddings and Question answering over knowledge bases; such topics are not jointly evidenced.,Topics outside the top-ranked papers are least similar to the combined inputs for Knowledge graph embeddings and Question answering over knowledge bases; such topics are not jointly evidenced.,Knowledge Graph Embedding by Translating on Hyperplanes; Learning Entity and Relation Embeddings for Knowledge Graph Completion; Knowledge Graph Embedding via Dynamic Mapping Matrix,,,,,
EV-6ccdc1eb48,,materials_discovery_x_active_learning,gap,,"Estimated age errors are around 15% (plus possible systematic errors) for late F, G, K, and early M stars.","Estimated age errors are around 15% (plus possible systematic errors) for late F, G, K, and early M stars.","Ages for Illustrative Field Stars Using Gyrochronology: Viability, Limitations, and Errors",,,,,
EV-70aaa1484c,,clinical_nlp_x_ehr,gap,,No source paper in the retrieved set jointly covers 'Topic Modeling' across Natural language processing for clinical text and Electronic health record analytics; a combined treatment is missing.,No source paper in the retrieved set jointly covers 'Topic Modeling' across Natural language processing for clinical text and Electronic health record analytics; a combined treatment is missing.,Deep EHR: A Survey of Recent Advances in Deep Learning Techniques for Electronic Health Record (EHR) Analysis; Scalable and accurate deep learning with electronic health records; Natural Language Processing of Clinical Notes on Chronic Diseases: Systematic Review,,,,,
EV-7120363c2b,,climate_downscaling_x_deep_learning,gap,,Topics outside the top-ranked papers are least similar to the combined inputs for Statistical climate downscaling and Deep learning for earth observation; such topics are not jointly evidenced.,Topics outside the top-ranked papers are least similar to the combined inputs for Statistical climate downscaling and Deep learning for earth observation; such topics are not jointly evidenced.,Precipitation downscaling under climate change: Recent developments to bridge the gap between dynamical models and the end user; Statistical Downscaling and Bias Correction for Climate Research; Guidelines For Use Of Climate Scenarios Developed From Statistical Downscaling Methods.,,,,,
